C_gps,C_name,C_name2,C_high,C_ad,,,
"37.87137778,127.9564694",가리산(홍천),가리산(홍천),1051,강원,가리산,1050.9,"강원도 홍천군 두촌면ㆍ화촌면, 춘천시 북산면ㆍ동면"
"37.46150556,128.5633639",가리왕산,가리왕산,1561,강원,가리왕산,1561.9,"강원도 정선군 북평면ㆍ정선읍 회동리, 평창군 진부면"
"35.82359722,128.1204972",가야산(합천),가야산(합천),1430,경남,가야산,1432.6,"경상남도 합천군ㆍ거창군, 경상북도 성주군"
"36.7066013257,126.60836041",가야산(충남),가야산(충남),678,충남,가지산 ,1240.9,"울산광역시 울주군, 경상북도 청도군, 경상남도 밀양시"
"35.62027778,129.0029444",가지산,가지산 ,1240,경남,감악산,674.9,"경기도 파주시 적성면, 양주시 남면, 연천군 전곡읍"
"37.23061456,128.1412214",감악산(원주),감악산(원주),930,강원,강천산 ,583.7,"전라북도 순창군 팔덕면, 전라남도 담양군 용면"
"37.94111345,126.9700241",감악산(파주),감악산(파주),675,경기,계룡산,846.5,"대전광역시, 충청남도 공주시 계룡면, 논산시 상월면, 계룡시 신도안면"
"36.35201103,127.200346",계룡산,계룡산,816,충남,계방산,1579.1,"강원도 홍천군 내면, 평창군 용편면ㆍ진부면"
"37.72834167,128.4654972",계방산,계방산,1577,강원,공작산,887.4,"강원도 홍천군 동면, 화촌면"
"37.44507652,126.9640911",관악산,관악산,629,서울,관악산,632.2,"서울특별시 관악구, 경기도 안양시, 과천시"
"36.68781063,127.0278751",광덕산,광덕산,699,충남,구병산,876.3,"경상북도 상주신 화북면, 충청북도 보은군 마로면ㆍ속리산면"
"36.46958409,127.8617336",구병산(보은),구병산(보은),877,충북,금산,704.9,"경상남도 남해군 상주면, 이동면, 삼동면"
"35.92312372,127.4166319",구봉산(진안),구봉산(진안),1002,전북,금수산,1015.8,"충청북도 제천시 수산면, 단양군 적성면"
"36.984725,128.2569056",금수산,금수산,1016,충북,금오산,976.5,"경상북도 구미시 칠곡군 북삼읍, 김천시 남면"
"36.09178611,128.300225",금오산(구미),금오산,976,경북,금정산 ,800.8,"부산광역시 금정구ㆍ북구, 경상남도 양산시"
"35.28013889,129.0505833",금정산,금정산,801,경남,깃대봉,360.7,전라남도 신안군 흑산면 홍도
"35.78884618,129.2228758",남산(경주),남산(경주),468,경북,남산(금오산),495.1,"경상북도 경주시 남산동, 내남면"
"35.62316667,126.5824444",내변산(변산),내변산(변산),424,전북,내연산 ,711.3,"경상북도 포항시 송라면ㆍ청하면ㆍ죽장면, 영덕군 남정면"
"36.27864444,129.2898611",내연산,내연산,711,경북,내장산,763.5,"전라북도 정읍시 내장동, 순창군 쌍치면ㆍ복흥면"
"35.47832036,126.889075",내장산,내장산,763,전북,대둔산,878.9,"충청남도 논산시 벌곡면ㆍ금산군 진산면, 전라북도 완주군 운주면"
"37.78266389,128.6397806",노인봉,노인봉(오대산),1338,강원,대암산,1312.6,"강원도 양구군 동면, 인제군 서화면"
"34.38257778,126.5851639",달마산,달마산,489,전남,대야산,931,"경상북도 문경시 가은읍, 충청북도 괴산군 청천면"
"36.12458889,127.3204722",대둔산,대둔산,878,충남,덕숭산(수덕산),495.2,충청남도 예산군 덕산면
"36.6691961,127.9295186",대야산,대야산,930,경북,덕유산,1614.2,"전라북도 무주군ㆍ장수군, 경상남도 거창군ㆍ함양군"
"34.53853333,126.6991944",덕룡산,덕룡산,432,전남,덕항산,1072.9,"강원도 삼척시 신기면, 태백시 하사미동"
"35.85988335,127.7463209",덕유산,덕유산,1614,전북,도락산,965.3,"충청북도 단양군  단성면, 대강면"
"37.30882222,129.012625",덕항산,덕항산,1071,강원,도봉산,740.2,"서울특별시 도봉구, 경기도 의정부시 호원동ㆍ양주시 장흥면"
"36.85630278,128.311325",도락산,도락산,964,충북,두륜산,700,전라남도 해남군 삼산면ㆍ북일면ㆍ북평면ㆍ현산면
"37.6987565,127.015276",도봉산,도봉산,730,서울,두타산,1357,"강원도 동해시 삼화동, 삼척시 미로면ㆍ하장면"
"35.282,127.251925",동악산(곡성),동악산(곡성),735,전남,마니산,472.1,인천광역시 강화군 화도면
"34.47191389,126.6375611",두륜산,두륜산,703,전남,마이산,687.4,전라북도 진안군 진안읍ㆍ마령면
"37.42663889,129.0044278",두타산,두타산,1353,강원,명성산,922,"강원도 철원군 갈말읍, 경기도 포천시 영북면ㆍ이동면"
"37.61558695,126.430707",마니산(강화도),마니산(강화도),472,인천,명지산,1252.3,경기도 가평군 북면ㆍ하면
"35.76055,127.4115",마이산(진안),마이산(진안),527,전북,모악산,795.2,"전라북도 김제시 금산면, 전주시 완산구, 완주군 구이면"
"37.94153202,127.4322069",명지산,명지산,1267,경기,무등산,1186.8,"광주광역시 동구, 전라남도 담양군 남면ㆍ화순군 이서면"
"35.72858056,127.0851722",모악산,모악산,793,전북,무학산,761.4,경상남도 창원시 교방동ㆍ두척동ㆍ내서읍
"35.12074014,127.0027514",무등산,무등산,1100,전남,미륵산 ,458.4,경상남도 통영시 산양읍ㆍ봉평동
"36.03980956,127.8492505",민주지산,민주지산,1241,충북,민주지산,1241.7,"충청북도 영동군, 전라북도 무주군, 경상북도 김천시"
"35.42181444,127.5763203",바래봉,바래봉(지리산),1165,지리산,방장산,733.6,"전라남도 장성군, 전라북도 고창군 신림면ㆍ정읍시 입암면"
"35.3164875,127.5694625",반야봉,반야봉(지리산),1732,지리산,방태산,1445.7,"강원도 인제군 기린면ㆍ상남면, 홍천군 내면"
"35.455749,126.754389",방장산,방장산,743,전남,백덕산,1350.1,"강원도 평창군 방림면, 횡성군 안흥면, 영월군 수주면"
"37.88815,128.39009",방태산,방태산,1444,강원,백암산,741.2,"전라북도 순창군 복흥면, 잔라남도 장성군 북하면"
"37.39643056,128.2935",백덕산,백덕산,1350,강원,백운산(광양),1222.2,"전라남도 광양시 진상면ㆍ옥룡면ㆍ봉강면ㆍ다압면, 구례군 간전면"
"35.46128611,126.8684694",백암산,백암산,741,전남,백운산(정선),883.5,"강원도 정선군 신동읍, 평창군 미탄면"
"35.10637222,127.6213444",백운산(광양),백운산(광양),1228,전남,백운산(포천),903,"경기도 포천시 이동면, 강원도 화천군 사내면"
"37.27999444,128.5960944",백운산(동강),백운산(동강),882,강원,변산,459,"전라북도 부안군 변산면, 상서면, 진서면"
"37.65869404,126.9779634",북한산,북한산,837,서울,북한산,835.6,"서울특별시 강북구ㆍ성북구ㆍ종로구ㆍ은평구, 경기도 고양시ㆍ양주시"
"35.19074444,126.5649944",불갑산(영광),불갑산(영광),516,전남,비슬산,1083.4,"대구광역시 달성군 옥포면ㆍ유가면ㆍ가창면, 경상북도 청도군 각북면"
"35.71544505,128.523803",비슬산,비슬산,1083,경북,삼악산,655.8,강원도 춘천시 서면
"37.83969167,127.6604028",삼악산,삼악산,654,강원,서대산,904.1,"충청남도 금산군 추부면ㆍ군북면, 충청북도 옥천군 군서면"
"35.498675,126.5689861",선운산,선운산,336,전북,선운산,334.7,전라북도 고창군 아산면ㆍ심원면ㆍ해리면
"38.119125,128.4653611",설악산,설악산,1708,강원,설악산,1708.1,"강원도 속초시 설악동, 인제군 북면ㆍ인제읍, 양양군 서면ㆍ강현면"
"36.95748333,128.4848722",소백산,소백산,1439,경북,성인봉,986.5,경상북도 울릉군 울릉읍 서면ㆍ북면
"37.93851111,127.0879417",소요산,소요산,587,경기,소백산,1439.7,"경상북도 영주시 풍기읍, 충청북도 단양군 단양읍"
"36.54319296,127.8708036",속리산,속리산,1058,충북,소요산,587.5,"경기도 동두천시, 포천시 신북면"
"37.69922309,127.0813438",수락산,수락산,637,서울,속리산,1058.4,"경상북도 상주시 화북면, 충청북도 보은군 내속리면"
"35.53936111,129.0541111",신불산,신불산,1209,경남,신불산,1159.3,울산광역시 울주군 삼남면ㆍ상북면
"37.898784,127.414388",연인산,연인산,1068,경기,연화산,524,경상남도 고성군 개천면ㆍ영현면
"37.79459051,128.5436089",오대산 비로봉,오대산 비로봉,1563,강원,오대산,1565.4,"강원도 평창군 진부면, 홍천군 내면, 강릉시 연곡면"
"37.99962064,127.8075922",오봉산(춘천),오봉산(춘천),779,강원,오봉산,777.9,"강원도 춘천시 북산면, 화천군 간동면"
"36.45836667,126.6593306",오서산(보령),오서산(보령),791,충남,용문산,1157.1,경기도 양평군 용문면ㆍ옥천면
"37.56214958,127.5485971",용문산(양평),용문산,1157,경기,용화산,877.8,"강원도 화천군 간동면ㆍ하남면, 춘천시 사북면"
"36.64365278,126.6491972",용봉산(홍성),용봉산(홍성),381,충남,운문산,1195.1,"경상북도 청도군 운문면, 경상남도 밀양시 산내면"
"38.03818056,127.7479917",용화산,용화산,878,강원,운악산,934.7,"경기도 가평군 하면, 포천시 화현면"
"37.87670561,127.3253579",운악산,운악산,937,경기,운장산,1125.8,"전라북도 진안군 주천면, 부귀면, 정천면, 완주군 동상면"
"35.91128056,127.3577",운장산,운장산,1122,전북,월악산,1095.3,"충청북도 제천시 한수면, 덕산면"
"36.885975,128.1060722",월악산,월악산,1097,충북,월출산,810.7,"전라남도 영암군 영암읍ㆍ군서면ㆍ학산면, 강진군 성전면"
"34.76660278,126.7040306",월출산,월출산,809,전남,유명산,864,"경기도 가평군 설악면, 양평군 옥천면"
"37.57528333,127.4865722",유명산,유명산,862,경기,응봉산,999.7,"강원도 삼척시 가곡면ㆍ원덕읍, 경상북도 울진군 북면"
"37.07658889,129.2305167",응봉산(울진),응봉산,998,강원,장안산,1237.4,"전라북도 장수군 장수읍, 계남면"
"35.62921274,127.595046",장안산,장안산,1237,전북,재약산,1119.1,"경상남도 밀양시 단장면ㆍ산내면, 울산광역시 울주군 상북면"
"35.54541667,128.9805556",재약산,재약산,1189,경남,적상산,1030.6,전라북도 무주군 적상면
"35.0013,127.3136333",조계산,조계산,884,전남,점봉산,1426,"강원도 양양군 서면, 인제군 인제읍ㆍ기린면"
"36.77145556,128.0442444",조령산,조령산,1026,경북,조계산,887.3,전라남도 순천시 승주읍ㆍ송광면
"36.38935,129.1623944",주왕산,주왕산,722,경북,주왕산,722.1,"경상북도 청송군 청송읍ㆍ부동면, 영덕군 지품면ㆍ달산면"
"36.78856667,128.1012667",주흘산,주흘산,1106,경북,주흘산,1108.4,경상북도 문경시 문경읍
"35.33690972,127.7306228",지리산,지리산 천왕봉,1915,지리산,지리산,1915.4,"전라북도 남원시, 전라남도 구례군, 경상남도 하동군ㆍ산청군ㆍ함양군"
"34.53166944,126.9196972",천관산,천관산,723,전남,지리산,399.3,경상남도 통영시 사량면
"35.40158333,129.1062778",천성산,천마산,812,경기,천관산,724.3,"전라남도 장흥군 관산읍, 대덕읍"
"37.680237,127.273314",천마산,천성산,812,경남,천마산,810.3,"경기도 남양주시 화도읍, 오남읍"
"36.15916944,127.6001",천태산,천태산,714,충북,천성산,920.2,"경상남도 양산시 하북면, 상북면"
"37.42799808,127.0435783",청계산,청계산,582,서울,천태산,715.2,"충청북도 영동군 양산면, 충청남도 금산군 제원면"
"36.79433611,128.9085528",청량산,청량산,870,경북,청량산,869.7,"경상북도 봉화군 명호면ㆍ재산면, 안동시 도산면ㆍ예안면"
"36.60371149,127.9204332",청화산,청화산,970,충북,추월산,731.2,"전라남도 담양군 용면, 전라북도 순창군 복흥면"
"35.37095833,126.7260417",축령산(장성),축령산(장성),621,전남,축령산,887.1,"경기도 남양주시 수동면, 가평군 상면"
"37.365125,128.0556444",치악산,치악산,1288,강원,치악산,1282,"강원도 원주시, 횡성군, 영월군"
"36.41303454,126.8849185",칠갑산(청양),칠갑산,561,충남,칠갑산,559.7,"충청남도 청양군 대치면, 정산면, 장평면"
"37.0962988015,128.917050362",태백산,칠보산,778,충북,태백산,1566.7,"강원도 태백시, 경상북도 봉화군 석포면"
"36.74059,127.92656",칠보산(괴산),태백산,1567,강원,태화산,1027.5,"강원도 영월군 영월읍, 충청북도 단양군 영춘면"
"37.11759167,128.4853833",태화산,태화산,1027,강원,팔공산,1192.3,"경상북도 군위군 부계면, 영천시 신녕면, 대구광역시 동구"
"36.01637665,128.6945558",팔공산,팔공산,1193,경북,팔봉산,328.2,강원도 홍천군 서면
"37.6959326,127.697033",팔봉산(홍천),팔봉산(홍천),327,강원,팔영산,606.9,"전라남도 고흥군 점암면, 영남면"
"34.61715278,127.4364528",팔영산,팔영산,608,전남,한라산,1947.3,제주특별자치도
"33.36191487,126.5333176",한라산,한라산,1950,제주도,화악산,1468.3,"경기도 가평군 북면, 강원도 화천군 사내면"
"37.16116389,128.917625",함백산,함백산,1573,강원,화왕산,757.7,"경상남도 창녕군 창녕읍, 고암면"
"37.9895988,127.4984162",화악산(가평),화악산(가평),1423,경기,황매산,1113.1,"경상남도 합천군 대병면ㆍ가회면, 산청군 차황면"
"35.54716667,128.5316389",화왕산(창녕),화왕산(창녕),756,경남,황석산,1192.5,"경상남도 함양군 안의면, 서하면, 서상면"
"35.49429306,127.9746603",황매산(산청),황매산(산청),1108,경남,황악산,1111.4,경상북도 김천시 대항면
"35.65517361,127.7554706",황석산(함양),황석산(함양),1192,경남,황장산,1078.9,경상북도 문경시 동로면
"36.11807573,127.9668221",황악산(김천),황악산(김천),1111,경북,희양산,996.4,"경상북도 문경시 가은읍, 충청북도 괴산군 연풍면"
